id,StartUp,Country,Year,ESG,E,S,G,Raised,distr_tk,Rating, platform ETHEREUM , kyc , whitelist , mvp , teamsize , duracao , retrictions USD , FIAT , EPI , GOVEF , POLEST , REGQ , EDBUS , PUBEXP , TERT , TEACHT , DOCT , RDEXP , HTECEXP , QINSTIT , SJOUR , DCRED , STOCMARK , DMED , DMEDIA , GDPC , CREDINAD , CONCTBANK , EASYL , VC , TAXPROFIT , TAX_REVEN , FISCALFRD , FINACIFRD , FOREIGINVEST , FOREIGDP , INTERPAY , percmath , GINI , MAKTEFF , PERCTECH , DEVCOUNT 
3191,Algotrading,United Kingdom,0,0,0,0,0,0,0.7,2.9,1,1,0,1,4,32,0,0,81.3,1.398906,76.1,1.777152,83.2,5.238900185,61.38288879,161144.9639,1.001019955,1.70274,22.31955772,6.33368735,97680.9,132.6118914,116.4857,1,1,43646.95197,1.07263,48.65972,4.429107189,4.408193111,17.3,33.21909638,53.5,80,81158909779,2.840389193,6.702680056,13.56267,34.8,5.344177416,3.61913,1
3192,ALMBank,St. Lucia,0,0,0,0,0,0,0,3.1,1,0,0,0,17,30,0,0,43.1,0.2144511,0,0.279565,63.62984,3.331799984,14.06653023,290,0.226549998,0,14.33878777,0,3.81,55.79212624,0,1,0,11353.71521,0,100,0,0,25.8,24.26156472,67.7,40,40030761.71,1.937714541,16.0689481,0,51.2,0,0,0
3193,Alt Planet,Estonia,0,0,0,0,0,0,0.5,2.9,0,0,0,0,8,27,0,0,65.3,1.7,82.1,1.55177,80.8,5.238870144,70.36543274,4349,0.931609988,1.40441,18.171464,5.28922987,1414.72,62.2248163,16.9,1,1,23052.30126,0.453036,96.82919,4.656772614,3.812066317,7.8,20.46954584,99.8,80,1212525210,3.960406045,0.173250173,6.31962,30.3,5.061652945,6.66152,1
3194,ALTEUM,Mexico,0,0,0,0,0,25572147,0.75,2.9,0,1,0,0,14,27,0,0,52.6,0.1,45.9,0.1582261,72.5,4.254429817,41.52280045,397142,0.082970001,0.31291,20.88855391,4.28555871,16345.64,34.54729471,31.50095,0,0,9686.984927,2.05085,37.41551,3.763519526,3.152481079,27.9,37.70393692,69.8,60,37643021765,3.07956465,13.3810871,2.41221,46.7,4.330764619,5.38095,0
3195,AmaStar,Cyprus,2018,0,0,0,0,0,0.6,3.1,0,1,1,0,9,45,1,0,64.8,1.4,77,0.8727556,72.77735,5.754169941,81.33708191,3276,0.754980028,0.54783,19.87383673,4.15468252,1245.42,136.5546154,13.09172,1,1,29334.11093,19.5205,63.93546,2.875291824,2.522010565,8.1,23.93794138,79.3,60,-6354839227,-25.1081979,5.985149985,2.52487,32.7,4.703249436,2.56859,1
3196,Anryze,Russian Federation,0,0,0,0,0,1600000,0.939,3.2,0,0,0,0,6,30,0,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
3197,ARCALLIA,Estonia,0,0,0,0,0,0,0.5,2.9,1,1,1,0,6,57,0,0,65.3,1.7,82.1,1.55177,80.8,5.238870144,70.36543274,4349,0.931609988,1.40441,18.171464,5.28922987,1414.72,62.2248163,16.9,1,1,23052.30126,0.453036,96.82919,4.656772614,3.812066317,7.8,20.46954584,99.8,80,1212525210,3.960406045,0.173250173,6.31962,30.3,5.061652945,6.66152,1
3198,ARGO Reality,Belarus,2018,0,0,0,0,134800,0,3.1,1,0,0,0,11,17,0,0,53,-0.7,63.5,-0.6494673,74.3536,5.381110191,87.42909241,28080,0.302630007,0.60443,4.051827533,0,1179.81,27.6149456,2.6,0,0,6360.062473,5.01029,69.48127,0,0,11.1,3.108097711,75.4,10,1426500000,2.376261878,6.228333927,2.84452,25.2,0,4.51118,0
3199,ARQUTE G.A.S.,Russian Federation,2018,0,0,0,0,0,0.8,2.9,0,0,0,0,0,74,1,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
3200,Artex,Russian Federation,0,0,0,0,0,0,0,3,1,0,0,0,0,19,0,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
